model,train_accuracy,val_accuracy,test_accuracy,train_balanced_acc,val_balanced_acc,test_balanced_acc,train_f1,val_f1,test_f1
Logistic Regression,0.5869565217391305,0.5121951219512195,0.5040650406504065,0.5762845849802372,0.5192307692307692,0.48839009287925694,0.5606798404071502,0.49754901960784315,0.47696061345416524
Random Forest,0.9809782608695652,0.5365853658536586,0.6341463414634146,0.974308300395257,0.44780219780219777,0.5461300309597523,0.9777052698995179,0.4448491567028268,0.5467943994104643
XGBoost,0.967391304347826,0.5609756097560976,0.5934959349593496,0.9501976284584981,0.47939560439560436,0.5021671826625387,0.9610993657505285,0.47815839094908863,0.5008116883116883
